,Tag
Control_0,0
Control_1,0
Control_2,0
Control_3,0
Control_4,0
Control_5,0
Control_6,0
Control_7,0
Control_8,0
Control_9,0
Control_10,0
Control_11,0
Control_12,0
Control_13,0
Control_14,0
Control_15,0
Control_16,0
Control_17,0
Control_18,0
Control_19,0
Control_20,0
Control_21,0
Control_22,0
Control_23,0
Control_24,0
Control_25,0
Control_26,0
Control_27,0
Control_28,0
Control_29,0
Control_30,0
Control_31,0
Control_32,0
Control_33,0
Control_34,0
Control_35,0
Control_36,0
Control_37,0
Control_38,0
Control_39,0
Control_40,0
Control_41,0
Control_42,0
Control_43,0
Control_44,0
Control_45,0
Control_46,0
Control_47,0
Control_48,0
Control_49,0
Control_50,0
Control_51,0
Control_52,0
Control_53,0
Control_54,0
Control_55,0
Control_56,0
Control_57,0
Control_58,0
Control_59,0
Control_60,0
Control_61,0
Control_62,0
Control_63,0
Control_64,0
Control_65,0
Control_66,0
Control_67,0
Control_68,0
Control_69,0
Control_70,0
Control_71,0
Control_72,0
Control_73,0
Control_74,0
Control_75,0
Control_76,0
Control_77,0
Control_78,0
Control_79,0
Control_80,0
Control_81,0
Control_82,0
Control_83,0
Control_84,0
Control_85,0
Control_86,0
Control_87,0
Control_88,0
Control_89,0
Control_90,0
Control_91,0
Control_92,0
Control_93,0
Control_94,0
Control_95,0
Control_96,0
Control_97,0
Control_98,0
Control_99,0
Control_100,0
Control_101,0
Control_102,0
Control_103,0
Control_104,0
Control_105,0
Control_106,0
Control_107,0
Control_108,0
Control_109,0
Control_110,0
Control_111,0
Control_112,0
Control_113,0
Control_114,0
Control_115,0
Control_116,0
Control_117,0
Control_118,0
Control_119,0
Control_120,0
Control_121,0
Control_122,0
Control_123,0
Control_124,0
Control_125,0
Control_126,0
Control_127,0
Control_128,0
Control_129,0
Control_130,0
Control_131,0
Control_132,0
Control_133,0
Control_134,0
Control_135,0
Control_136,0
Control_137,0
Control_138,0
Control_139,0
Control_140,0
Control_141,0
Control_142,0
Control_143,0
Control_144,0
Control_145,0
Control_146,0
Control_147,0
Control_148,0
Control_149,0
Control_150,0
Control_151,0
Control_152,0
Control_153,0
Control_154,0
Control_155,0
Control_156,0
Control_157,0
Control_158,0
Control_159,0
Control_160,0
Control_161,0
Control_162,0
Control_163,0
Control_164,0
Control_165,0
Control_166,0
Control_167,0
Control_168,0
Control_169,0
Control_170,0
Control_171,0
Control_172,0
Control_173,0
Control_174,0
Control_175,0
Control_176,0
Control_177,0
Control_178,0
Control_179,0
Control_180,0
Control_181,0
Control_182,0
Control_183,0
Control_184,0
Control_185,0
Control_186,0
Control_187,0
Control_188,0
Control_189,0
Control_190,0
Control_191,0
Control_192,0
Control_193,0
Control_194,0
Control_195,0
Control_196,0
Control_197,0
Control_198,0
Control_199,0
Control_200,0
Control_201,0
Control_202,0
Control_203,0
Control_204,0
Control_205,0
Control_206,0
Control_207,0
Pregnant_0,1
Pregnant_1,1
Pregnant_2,1
Pregnant_3,1
Pregnant_4,1
Pregnant_5,1
Pregnant_6,1
Pregnant_7,1
Pregnant_8,1
Pregnant_9,1
Pregnant_10,1
Pregnant_11,1
Pregnant_12,1
Pregnant_13,1
Pregnant_14,1
Pregnant_15,1
Pregnant_16,1
Pregnant_17,1
Pregnant_18,1
Pregnant_19,1
Pregnant_20,1
Pregnant_21,1
Pregnant_22,1
Pregnant_23,1
Pregnant_24,1
Pregnant_25,1
Pregnant_26,1
Pregnant_27,1
Pregnant_28,1
Pregnant_29,1
Pregnant_30,1
Pregnant_31,1
Pregnant_32,1
Pregnant_33,1
Pregnant_34,1
Pregnant_35,1
Pregnant_36,1
Pregnant_37,1
Pregnant_38,1
Pregnant_39,1
Pregnant_40,1
Pregnant_41,1
Pregnant_42,1
Pregnant_43,1
Pregnant_44,1
Pregnant_45,1
Pregnant_46,1
Pregnant_47,1
Pregnant_48,1
Pregnant_49,1
Pregnant_50,1
Pregnant_51,1
Pregnant_52,1
Pregnant_53,1
Pregnant_54,1
Pregnant_55,1
Pregnant_56,1
Pregnant_57,1
Pregnant_58,1
Pregnant_59,1
Pregnant_60,1
Pregnant_61,1
Pregnant_62,1
