SampleID,Unassigned,Bacteria,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;copri,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;onderdonkii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;putredinis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;;,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;prausnitzii,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;albus,Bacteria;Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;
SRR25445944,23.233174586431804,29.178176544282408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.58864886928579,0.0,0.0
SRR25445945,53.49795894391966,42.39124232745981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.110798728620522,0.0,0.0
SRR25445948,40.44914688095179,43.47478087022544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010463354503762725,0.0,0.0,0.0,16.06560889431902,0.0,0.0
SRR25445949,33.54117356852044,66.08820987401494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37061655746461103,0.0,0.0
SRR25445950,17.65157501560507,80.8508481532486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17061001873819026,0.0,0.0,1.3269668124081466,0.0,0.0
SRR25445952,26.631409983060273,68.41793347479415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.950656542145563,0.0,0.0
SRR25445953,43.47084085444945,54.42624429197445,0.0,0.0,0.0,0.0,0.0,0.0,1.6699617954869117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4329530580891994,0.0,0.0
SRR25445954,32.466645162373254,59.4069052446769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.905822002191034,0.0,0.22062759075881952
SRR25445955,34.937001067225076,62.81369274421926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0339470853960857,0.0,0.2153591031595856
SRR25445956,36.991247413994174,63.00875258600583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25445958,31.987145875913765,65.07093850528237,0.0,0.0,0.32890982073583597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61300579806803,0.0,0.0
SRR25445960,28.3847644152798,67.92657552721948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05753542550694353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63112463199377,0.0,0.0
SRR25445961,13.568290199408887,86.43170980059111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25445962,17.47683406273162,34.95330090419248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0510649791624145,0.0,0.0,47.518800053913495,0.0,0.0
SRR25445963,36.41256077428688,54.08971560814636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49772361756676,0.0,0.0
SRR25445965,26.400584002994552,70.03058390470568,0.0,0.14484549641802874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14484549641802874,0.0,0.0,0.07242274820901437,0.0,0.0,3.0980842289411705,0.0,0.10863412231352156
SRR25445967,35.08807287151211,51.454958698869326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.058696828300391,2.3982716013181573,0.0
SRR25445971,34.42946936939116,50.90573675307246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15015147314883673,0.0,0.0,0.0,14.514642404387551,0.0
SRR25445973,48.01696985056121,43.905150430774135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077879718664642,0.0
SRR25445974,48.68899750182082,43.44951940086343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.861483097315753,0.0,0.0
SRR25445975,30.152988338073705,69.8470116619263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25445976,37.69983038554541,31.805580569426706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004769002092221428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249280092166866,27.240539950768795,0.0
SRR25445978,20.780795334787015,79.21920466521298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25445979,50.81417706679584,45.79704843936186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3887744938422846,0.0,0.0
SRR25445980,2.6349533920316675,97.36504660796834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25445985,28.983228343781438,68.66227988657717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.715518188572733,0.0,0.003596474189879944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63537710687879,0.0,0.0
