ID,Unclassified,p__Actinobacteria,p__Bacteroidetes,p__Chloroflexi,p__Cyanobacteria,p__Deferribacteres,p__Elusimicrobia,p__Euryarchaeota,p__Fibrobacteres,p__Firmicutes,p__Fusobacteria,p__GN02,p__Lentisphaerae,p__OD1,p__Planctomycetes,p__Proteobacteria,p__SR1,p__Spirochaetes,p__Synergistetes,p__TM7,p__Tenericutes,p__Verrucomicrobia,p__WPS-2,p__[Thermi]
T1-B002LA,0.0,3331.0,7392.0,0.0,0.0,0.0,0.0,3.0,0.0,18837.0,599.0,0.0,0.0,0.0,0.0,7704.0,11.0,71.0,14.0,33.0,7.0,5.0,0.0,0.0
T1-B006TR,0.0,370.0,1311.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.0,176.0,0.0,0.0,0.0,0.0,384.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
T1-B009HM,0.0,4725.0,6946.0,0.0,0.0,0.0,0.0,0.0,0.0,25087.0,212.0,0.0,0.0,0.0,0.0,1502.0,0.0,44.0,25.0,0.0,0.0,17.0,0.0,0.0
T1-B010SF,3.0,1438.0,7940.0,0.0,2.0,0.0,0.0,0.0,0.0,11924.0,775.0,0.0,0.0,0.0,0.0,1272.0,5.0,20.0,10.0,19.0,4.0,16.0,0.0,0.0
T2-B010SF,5.0,484.0,1942.0,0.0,0.0,0.0,0.0,0.0,0.0,6771.0,607.0,0.0,0.0,0.0,0.0,1438.0,0.0,131.0,30.0,0.0,10.0,7.0,0.0,0.0
T1-B011SY,0.0,1106.0,5968.0,0.0,0.0,0.0,0.0,0.0,0.0,7045.0,167.0,0.0,0.0,0.0,0.0,679.0,0.0,8.0,2.0,12.0,0.0,3.0,0.0,0.0
T2-B011SY,7.0,1655.0,3036.0,0.0,0.0,0.0,0.0,0.0,0.0,10155.0,747.0,0.0,0.0,0.0,0.0,1984.0,2.0,63.0,36.0,0.0,0.0,0.0,0.0,0.0
T1-B012YK,0.0,997.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,7045.0,581.0,0.0,0.0,0.0,0.0,861.0,8.0,6.0,5.0,0.0,6.0,0.0,0.0,0.0
T1-B013HN,0.0,743.0,2357.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.0,625.0,0.0,0.0,0.0,0.0,495.0,35.0,14.0,3.0,4.0,9.0,2.0,0.0,0.0
T2-B013HN,48.0,1277.0,10124.0,0.0,22.0,16.0,0.0,46.0,0.0,13126.0,31.0,0.0,0.0,0.0,0.0,1904.0,0.0,0.0,13.0,0.0,30.0,3900.0,0.0,0.0
T2-B014ML,2.0,706.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0,4850.0,332.0,0.0,0.0,0.0,0.0,786.0,3.0,147.0,28.0,0.0,8.0,27.0,0.0,0.0
T2-B015SZ,0.0,904.0,2076.0,0.0,0.0,0.0,0.0,0.0,0.0,13788.0,856.0,0.0,0.0,0.0,0.0,1271.0,12.0,67.0,0.0,0.0,0.0,5.0,0.0,0.0
T1-B016RN,2.0,3292.0,10669.0,0.0,0.0,0.0,0.0,0.0,0.0,43483.0,1580.0,0.0,0.0,0.0,0.0,1013.0,2.0,92.0,151.0,7.0,0.0,3.0,0.0,0.0
T1-B017MT,8.0,1320.0,8719.0,0.0,0.0,0.0,0.0,0.0,0.0,24748.0,1624.0,0.0,0.0,0.0,0.0,11350.0,91.0,41.0,16.0,0.0,3.0,4.0,0.0,0.0
T1-B018DB,6.0,757.0,4876.0,0.0,0.0,0.0,0.0,0.0,0.0,9795.0,1204.0,0.0,0.0,0.0,0.0,3320.0,5.0,1118.0,635.0,2.0,40.0,8.0,0.0,0.0
T1-B019AV,8.0,684.0,4326.0,3.0,0.0,0.0,0.0,0.0,0.0,24504.0,925.0,2.0,0.0,0.0,0.0,14054.0,4.0,271.0,107.0,0.0,16.0,3.0,0.0,0.0
T1-B020MS,4.0,322.0,9093.0,0.0,0.0,0.0,0.0,0.0,0.0,19224.0,1802.0,0.0,0.0,0.0,0.0,10927.0,1029.0,0.0,0.0,46.0,0.0,4.0,0.0,0.0
T2-B2002LV,30.0,257.0,9174.0,0.0,0.0,0.0,0.0,0.0,0.0,11297.0,972.0,0.0,0.0,0.0,0.0,4508.0,35.0,1205.0,132.0,0.0,42.0,0.0,0.0,0.0
T2-B2003YB,7.0,522.0,3752.0,0.0,0.0,0.0,0.0,0.0,0.0,5758.0,1203.0,0.0,0.0,0.0,0.0,987.0,78.0,1338.0,256.0,0.0,9.0,20.0,0.0,0.0
T2-B2004OM,117.0,589.0,2975.0,4.0,0.0,0.0,0.0,0.0,0.0,27139.0,13167.0,18.0,0.0,0.0,0.0,1855.0,15.0,1325.0,163.0,0.0,228.0,11.0,0.0,0.0
T2-B2005SM,2.0,664.0,5397.0,0.0,0.0,0.0,0.0,3.0,0.0,9972.0,238.0,0.0,0.0,0.0,0.0,331.0,0.0,230.0,5.0,0.0,0.0,0.0,0.0,0.0
T2-B2007OL,0.0,611.0,5559.0,0.0,0.0,0.0,0.0,2.0,0.0,11448.0,485.0,0.0,0.0,0.0,0.0,2111.0,0.0,22.0,24.0,6.0,0.0,4.0,0.0,0.0
T2-B2010IN,6.0,1207.0,4324.0,0.0,0.0,0.0,0.0,10.0,0.0,9113.0,820.0,0.0,0.0,0.0,0.0,906.0,14.0,317.0,99.0,0.0,0.0,19.0,0.0,0.0
T2-B2011MN,0.0,1398.0,4245.0,0.0,0.0,0.0,0.0,0.0,0.0,7756.0,893.0,0.0,0.0,0.0,0.0,452.0,8.0,57.0,21.0,0.0,0.0,8.0,0.0,0.0
T2-B2012MV,0.0,244.0,1154.0,0.0,3.0,0.0,0.0,6.0,0.0,2465.0,119.0,0.0,0.0,0.0,0.0,172.0,3.0,0.0,5.0,0.0,0.0,40.0,0.0,0.0
T2-B2013ND,19.0,357.0,2645.0,0.0,0.0,0.0,0.0,0.0,0.0,4992.0,580.0,0.0,0.0,0.0,0.0,563.0,106.0,757.0,163.0,0.0,31.0,2.0,0.0,0.0
T2-B2014HE,6.0,1406.0,6991.0,0.0,0.0,0.0,0.0,0.0,0.0,11590.0,571.0,0.0,0.0,0.0,0.0,3327.0,10.0,185.0,21.0,8.0,3.0,0.0,0.0,0.0
T2-B2015AT,5.0,1477.0,2968.0,0.0,0.0,0.0,0.0,0.0,0.0,9563.0,822.0,0.0,0.0,0.0,0.0,2427.0,11.0,218.0,49.0,0.0,69.0,2.0,0.0,0.0
T2-B2020LM,16.0,160.0,7792.0,2.0,0.0,0.0,0.0,0.0,0.0,6100.0,2354.0,0.0,0.0,0.0,0.0,2201.0,513.0,284.0,31.0,5.0,46.0,0.0,0.0,0.0
T2-B2022AK,17.0,2074.0,9923.0,2.0,0.0,0.0,0.0,0.0,0.0,11629.0,941.0,0.0,0.0,0.0,0.0,3329.0,49.0,385.0,190.0,0.0,18.0,9.0,0.0,0.0
T2-B2023SY,9.0,408.0,15632.0,0.0,0.0,0.0,0.0,0.0,0.0,14606.0,1569.0,0.0,0.0,0.0,0.0,572.0,523.0,238.0,0.0,15.0,117.0,0.0,0.0,0.0
T2-B2025HD,3.0,178.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,188.0,0.0,0.0,0.0,0.0,369.0,0.0,166.0,8.0,0.0,9.0,4.0,0.0,0.0
T2-B2029RE,0.0,611.0,2248.0,0.0,0.0,0.0,0.0,0.0,0.0,6270.0,365.0,0.0,0.0,0.0,0.0,2960.0,710.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0
