ID,Unclassified,p__Actinobacteria,p__Bacteroidetes,p__Chloroflexi,p__Cyanobacteria,p__Deferribacteres,p__Elusimicrobia,p__Euryarchaeota,p__Fibrobacteres,p__Firmicutes,p__Fusobacteria,p__GN02,p__Lentisphaerae,p__OD1,p__Planctomycetes,p__Proteobacteria,p__SR1,p__Spirochaetes,p__Synergistetes,p__TM7,p__Tenericutes,p__Verrucomicrobia,p__WPS-2,p__[Thermi]
T1-B002LA,0.0,0.08764175020390981,0.19449048859420634,0.0,0.0,0.0,0.0,7.893282816323308e-05,0.0,0.4956192280369406,0.01576025468992554,0.0,0.0,0.0,0.0,0.20269950272318257,0.00028942036993185466,0.0018680769331965164,0.0003683531980950877,0.000868261109795564,0.00018417659904754386,0.0001315547136053885,0.0,0.0
T1-B006TR,0.0,0.08924264351181863,0.31620839363241676,0.0,0.0,0.0,0.0,0.0,0.0,0.4573082489146165,0.042450554751567775,0.0,0.0,0.0,0.0,0.09261939218523878,0.000482392667631452,0.000723589001447178,0.000482392667631452,0.0,0.0,0.000482392667631452,0.0,0.0
T1-B009HM,0.0,0.12254266300119301,0.18014419835053685,0.0,0.0,0.0,0.0,0.0,0.0,0.6506302194097204,0.005498210488095855,0.0,0.0,0.0,0.0,0.03895430260905649,0.0,0.0011411380258312153,0.0006483738783131906,0.0,0.0,0.00044089423725296955,0.0,0.0
T1-B010SF,0.00012805190370496843,0.061379545842581526,0.3389107051391497,0.0,8.536793580331228e-05,0.0,0.0,0.0,0.0,0.5089636332593478,0.033080075123783505,0.0,0.0,0.0,0.0,0.05429400717090661,0.0002134198395082807,0.0008536793580331228,0.0004268396790165614,0.0008109953901314666,0.00017073587160662456,0.0006829434864264982,0.0,0.0
T2-B010SF,0.000437636761487965,0.04236323851203501,0.1699781181619256,0.0,0.0,0.0,0.0,0.0,0.0,0.5926477024070022,0.05312910284463895,0.0,0.0,0.0,0.0,0.12586433260393873,0.0,0.011466083150984683,0.00262582056892779,0.0,0.00087527352297593,0.000612691466083151,0.0,0.0
T1-B011SY,0.0,0.07378252168112075,0.3981320880587058,0.0,0.0,0.0,0.0,0.0,0.0,0.46997998665777185,0.01114076050700467,0.0,0.0,0.0,0.0,0.04529686457638426,0.0,0.000533689126084056,0.000133422281521014,0.0008005336891260841,0.0,0.00020013342228152102,0.0,0.0
T2-B011SY,0.0003958156629912355,0.09358213175007069,0.17167090754877015,0.0,0.0,0.0,0.0,0.0,0.0,0.5742154368108566,0.042239185750636135,0.0,0.0,0.0,0.0,0.11218546791065875,0.00011309018942606728,0.0035623409669211198,0.002035623409669211,0.0,0.0,0.0,0.0,0.0
T1-B012YK,0.0,0.09272693452380952,0.11560639880952381,0.0,0.0,0.0,0.0,0.0,0.0,0.6552269345238095,0.054036458333333336,0.0,0.0,0.0,0.0,0.080078125,0.000744047619047619,0.0005580357142857143,0.0004650297619047619,0.0,0.0005580357142857143,0.0,0.0,0.0
T1-B013HN,0.0,0.09780176385415296,0.31025404765038833,0.0,0.0,0.0,0.0,0.0,0.0,0.4356983019613005,0.08226931683559299,0.0,0.0,0.0,0.0,0.06515729893378966,0.004607081742793208,0.0018428326971172831,0.0003948927208108464,0.0005265236277477951,0.0011846781624325392,0.00026326181387389757,0.0,0.0
T2-B013HN,0.0015718636408291581,0.041818122277892396,0.3315322395782166,0.0,0.0007204375020466975,0.0005239545469430527,0.0,0.0015063693224612765,0.0,0.42983921144840687,0.0010151619347021645,0.0,0.0,0.0,0.0,0.06235059108622327,0.0,0.0,0.0004257130693912303,0.0,0.0009824147755182239,0.1277139208173691,0.0,0.0
