OTU ID,SRR33299549,SRR33299550,SRR33299551,SRR33299552,SRR33299553,SRR33299554,SRR33299555,SRR33299556,SRR33299557,SRR33299558,SRR33299559,SRR33299560,SRR33299561,SRR33299562,SRR33299563,SRR33299564,SRR33299565,SRR33299566,SRR33299567,SRR33299568,SRR33299569,SRR33299570,SRR33299571,SRR33299572,SRR33299573,SRR33299574,SRR33299575,SRR33299576,SRR33299577,SRR33299578,SRR33299579,SRR33299580,SRR33299581,SRR33299582,SRR33299583,SRR33299584,SRR33299585,SRR33299586,SRR33299587,SRR33299588,SRR33299589,SRR33299590,SRR33299591,SRR33299592,SRR33299593,SRR33299594,SRR33299595,SRR33299596,SRR33299597,SRR33299598,SRR33299599,SRR33299600,SRR33299601,SRR33299602,SRR33299603,SRR33299604,SRR33299605,SRR33299606,SRR33299607,SRR33299608,SRR33299609,SRR33299610,SRR33299611
SRR33299549.1,29141,90,280,413,54898,13447,45281,1178,1662,39338,361,210,3887,189,841,85,947,2204,300,318,78,6859,161,2302,52920,573,352,1203,3284,73,151,6485,6878,29,49883,352,165,72,109,40578,341,3591,197,91,184,32,127,35,359,5926,169,2809,37465,1784,417,54573,1052,1233,166,143,245,375,358
SRR33299549.1013,6,10,2,0,17,0,9,0,0,0,0,0,1,0,10,6,7,0,12,18,18,23,37,2,4,7,3,5,0,0,3,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,1,0,10,0,11,0,1,35,17,18,3,6,0,3
SRR33299549.10279,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
SRR33299549.10363,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,2,1,0,0,1,1,2,1,0,1,1,0,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,0
SRR33299549.1047,6,0,3,1,0,0,0,11,0,2,8,0,1,5,4,48,0,0,8,10,18,0,44,1,0,8,4,1,0,31,4,0,0,0,26,112,5,1,14,0,2,108,1,0,18,1,4,0,4,0,13,31,12,1,0,0,1,0,0,133,34,2,16
SRR33299549.1066,26,1,113,3,0,0,0,1,0,186,135,12,0,0,0,0,0,3,19,0,14,0,0,295,1,581,130,97,2,142,191,0,1,1,0,2,1,82,0,0,4,0,5,23,411,26,0,0,39,53,0,31,1156,0,151,6,0,0,0,0,23,0,168
SRR33299549.10711,1,4,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,5,0,14,0,0,0,0,0,3,0,0,1,0,1,0,3,0,299,32,0,0,2,0,0,0,0,4,0,1,225,452,0,0,1,0,0,1,0,1,152,51,0,0,1,0
SRR33299549.10729,2,16,30,17,0,0,0,0,3,2,17,0,0,0,0,56,0,0,0,18,0,0,0,44,0,3,43,29,0,1,50,0,5,1,14,51,23,81,38,8,0,0,0,0,3,0,0,1,1,0,6,0,0,0,0,0,0,0,33,1,0,0,9
SRR33299549.1077,3,0,10,2,2,2,0,1,1,0,0,1,0,8,1,1,0,0,2,5,0,0,4,4,3,0,0,0,0,0,0,7,0,21,0,1,0,1,1,1,3,0,3,5,4,4,0,0,93,0,2,1,0,0,16,0,0,6,3,0,1,1,0
SRR33299549.10936,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,27,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,29
SRR33299549.11380,1,1,13,7,0,11,0,0,0,0,1,10,1,33,0,0,0,0,0,0,13,0,13,0,1,16,1,4,0,1,0,0,0,40,1,5,134,0,0,0,9,1,9,15,34,12,1,144,127,0,22,1,0,8,55,5,0,67,3,0,1,1,0
SRR33299549.11387,9,0,10,245,71,1937,0,25,300,147,663,105,2,2,3,0,297,0,16,2,38,2,330,1,1,3,13,357,0,4,109,1,0,517,7,155,2,10,5,0,94,23,133,0,1039,1,0,1,248,0,786,1,0,3,285,8,2,839,51,23,8,2,1
SRR33299549.11496,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR33299549.11613,50,1,85,0,0,0,0,0,462,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,327,875,0,0,1208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,41
SRR33299549.11955,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SRR33299549.12,3466,80,1861,27,2176,17,2441,6,74,2360,57,20,99,196,40,19,134,31948,587,14,26,3267,41,40,21,36,21,52,56533,9,40,30,13055,2,424,67,66,68,26,1002,40,60,25,34,17,1,8,32,223,5410,44,19,10025,103,9,66,76,84,12,65,57,50,20
SRR33299549.1212,4,0,33,40,1,28,1,0,178,20,21,30,0,0,0,0,0,0,8,3,1,0,1,0,0,1,1,14,0,1,2,0,1,16,0,3,41,0,1,0,58,3,29,19,7,31,0,65,112,0,87,0,0,1,356,35,0,8,2,0,0,1,10
SRR33299549.122,316,3037,1584,1171,8,2,2,7092,42,1964,7359,1548,35,586,17,13,6,161,919,1070,273,13,1692,18,3,179,5389,4419,0,273,1529,7,14,20,81,150,3,1857,3077,1848,1473,35,262,8,12,15,3021,4,182,0,5510,471,9,10,7,1,29,176,17883,28,114,20006,360
SRR33299549.12451,44,443,217,3,6,7,2,504,188,167,630,2524,3246,334,401,3673,1,240,2114,7643,393,11,587,8387,12,3440,283,494,65,708,113,265,13,4,170,5156,507,256,2687,25,2502,447,1255,23,503,18,2292,16,183,7,1616,1211,35,1274,429,1,39,117,1524,1368,96,1793,936
SRR33299549.125,13,46,18,0,0,0,0,0,1,0,0,30,0,0,461,0,0,0,0,1,0,0,0,0,1,0,155,62,0,0,26,50,0,0,2,0,0,23,111,1,39,0,27,0,3,0,0,0,54,0,1,1,0,0,0,0,1,0,4,1,0,0,2
SRR33299549.12563,2,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,2,2,3,0,0,2,2,0,1,0,0,1,0,4,0,2,1,0,0,0,2,0,1,3,2,0,0,1,2,1,0,0,0,0,1,0,0,0,4,1,2,2,1,1
SRR33299549.12744,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR33299549.13,6,11,32,73,15,45,2,23,101,47,105,167,0,5,1,5,1408,11,33,4,31,2,160,4,15,8,4,429,1,3,52,1,1,219,0,164,503,0,1,1,134,24,135,50,284,42,3,791,999,3,1,1,0,43,1012,7,3,142,6,0,102,3,18
SRR33299549.13049,10,0,0,2,3,6,1,9,8,0,2,2,14,3,0,0,0,0,0,16,0,8,1,0,0,0,0,8,1,5,1,4,1,1,10,1,1,0,1,0,7,6,2,2,1,1,0,5,0,0,1,10,1,20,0,0,6,1,1,18,0,3,1
SRR33299549.13055,3,0,0,0,0,1,2,2,18,3,42,16,0,0,2,2,10,0,0,0,3,0,30,0,0,1,0,0,0,0,6,0,0,38,0,2,2,0,0,0,9,1,27,31,14,45,0,44,97,0,87,0,0,0,99,9,0,50,7,0,10,0,0
