project,metadata_feature,metadata_column,metadata_type,bacteria_name,correlation_coefficient,p_value,n_samples,p_value_fdr
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,k__Bacteria,-0.012916552227149323,0.8712203200227177,160,0.961145008259768
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota",0.013372154783874221,0.866719270449083,160,0.9593285864369644
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes",-0.04343459872777026,0.5855068031822007,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Proteobacteria",-0.017932575231091628,0.8219242697827049,160,0.9468955344704358
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacillota",-0.004759850245648519,0.9523657911255473,160,0.9873850509762275
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Actinobacteria",-0.11825445139837241,0.13640412912988878,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia",-0.0020802431850461657,0.9791720425800938,160,0.9968260283887491
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Negativicutes",0.12951271778899742,0.10262516421172609,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacillota,c__Clostridia",-0.010175041491860243,0.898386875961922,160,0.9702570619049123
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Proteobacteria,c__Betaproteobacteria",-0.019626874035381103,0.8054193009925327,160,0.9453196094232902
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Actinobacteria,c__Actinomycetia",-0.1237727785220546,0.1189154091131544,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria",0.06743897649875175,0.3968169113364118,160,0.8672995091000011
