project,metadata_feature,count
omri_stool_Pregnant_16S,Extreme180,14
omri_stool_Pregnant_16S,Smoking_Past,13
omri_stool_Pregnant_16S,Aspirin_Yes,12
omri_stool_Pregnant_16S,Aspirin_No,12
omri_stool_Pregnant_16S,GDM_prev_preg_No,8
omri_stool_Pregnant_16S,Antibiotics_No,8
omri_stool_Pregnant_16S,Aspirin_T1_Yes,8
omri_stool_Pregnant_16S,Aspirin_T1_No,8
omri_stool_Pregnant_16S,Antibiotics_Yes,8
omri_stool_Pregnant_16S,Conception_IVF,7
omri_stool_Pregnant_16S,food_remarks_Vegan/Vegeterian,7
omri_stool_Pregnant_16S,GDM_prev_preg_Yes,6
omri_stool_Pregnant_16S,BMI_category_Underweight,6
omri_stool_Pregnant_16S,food_remarks_High_carb,6
omri_stool_Pregnant_16S,Delivery_vategory_Preterm,6
omri_stool_Pregnant_16S,Smoking_Yes,5
omri_stool_Pregnant_16S,Conception_spontaneous,4
omri_stool_Pregnant_16S,Age_category_Under25,4
omri_stool_Pregnant_16S,FGT_category_High,3
omri_stool_Pregnant_16S,GDM_treatment_Gluben,2
omri_stool_Pregnant_16S,Cohort_Primary,2
omri_stool_Pregnant_16S,Cohort_Secondary,2
omri_stool_Pregnant_16S,Calories_T3,2
omri_stool_Pregnant_16S,Age_category_Over35,1
omri_stool_Pregnant_16S,Age_category_25to34,1
omri_stool_Pregnant_16S,BMI_category_Overweight,1
omri_stool_Pregnant_16S,GCT_category_High,1
omri_stool_Pregnant_16S,Smoking_No,1
omri_stool_Pregnant_16S,OGTT_60,1
omri_stool_Pregnant_16S,Gestation,1
omri_stool_Pregnant_16S,GDM_treatment_No,1
omri_stool_Pregnant_16S,Status_GDM,1
omri_stool_Pregnant_16S,Status_Control,1
omri_stool_Pregnant_16S,Stress_2,1
omri_stool_Pregnant_16S,food_remarks_Normal,1
